,证券代码,证券简称,信用评级,评级类型,评估机构,发债主体评级时间,发债主体评级预期,投资等级,等级含义
285,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20081208,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
286,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20090305,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
287,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20090327,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
288,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20090618,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
289,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20091015,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
290,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20091027,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
291,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20091214,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
292,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100401,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
293,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100514,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
294,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100526,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
295,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
296,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100707,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
297,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110128,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
298,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
299,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110902,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
300,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110913,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
301,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20111020,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
302,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120216,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
303,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120511,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
304,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
305,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120814,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
306,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20121018,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
307,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20130624,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
308,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20140613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
309,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20150527,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
310,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20150612,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
311,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20151021,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
312,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20151231,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
313,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20160120,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
314,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20160725,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
315,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20170630,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
316,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20180626,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
317,011001002.IB,10中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20190613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
318,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20081014,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
319,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20081208,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
320,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20090305,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
321,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20090327,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
322,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20090618,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
323,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20091015,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
324,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20091027,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
325,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20091214,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
326,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20100401,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
327,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20100514,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
328,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20100526,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
329,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20100629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
330,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20100707,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
331,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20110128,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
332,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20110629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
333,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20110902,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
334,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20110913,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
335,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20111020,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
336,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20120216,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
337,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20120511,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
338,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20120629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
339,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20120814,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
340,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20121018,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
341,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20130624,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
342,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20140613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
343,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20150527,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
344,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20150612,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
345,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20151021,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
346,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20151231,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
347,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20160120,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
348,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20160725,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
349,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20170630,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
350,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20180626,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
351,011101001.IB,11中石油SCP001,AAA,长期信用评级,联合资信评估有限公司,20190613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
352,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20081014,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
353,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20081208,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
354,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20090305,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
355,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20090327,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
356,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20090618,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
357,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20091015,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
358,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20091027,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
359,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20091214,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
360,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100401,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
361,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100514,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
362,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100526,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
363,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
364,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20100707,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
365,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110128,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
366,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
367,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110902,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
368,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20110913,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
369,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20111020,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
370,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120216,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
371,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120511,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
372,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
373,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20120814,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
374,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20121018,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
375,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20130624,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
376,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20140613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
377,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20150527,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
378,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20150612,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
379,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20151021,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
380,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20151231,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
381,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20160120,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
382,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20160725,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
383,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20170630,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
384,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20180626,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
385,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,20190613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
386,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20081014,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
387,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20081208,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
388,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20090305,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
389,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20090327,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
390,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20090618,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
391,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20091015,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
392,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20091027,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
393,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20091214,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
394,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20100401,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
395,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20100514,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
396,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20100526,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
397,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20100629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
398,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20100707,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
399,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20110128,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
400,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20110629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
401,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20110902,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
402,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20110913,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
403,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20111020,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
404,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20120216,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
405,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20120511,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
406,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20120629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
407,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20120814,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
408,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20121018,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
409,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20130624,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
410,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20140613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
411,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20150527,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
412,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20150612,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
413,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20151021,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
414,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20151231,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
415,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20160120,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
416,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20160725,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
417,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20170630,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
418,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20180626,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
419,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,20190613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
420,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20081014,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
421,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20081208,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
422,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20090305,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
423,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20090327,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
424,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20090618,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
425,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20091015,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
426,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20091027,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
427,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20091214,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
428,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20100401,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
429,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20100514,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
430,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20100526,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
431,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20100629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
432,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20100707,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
433,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20110128,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
434,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20110629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
435,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20110902,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
436,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20110913,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
437,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20111020,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
438,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20120216,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
439,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20120511,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
440,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20120629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
441,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20120814,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
442,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20121018,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
443,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20130624,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
444,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20140613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
445,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20150527,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
446,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20150612,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
447,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20151021,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
448,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20151231,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
449,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20160120,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
450,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20160725,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
451,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20170630,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
452,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20180626,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
453,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,20190613,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
454,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20081014,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
455,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20081208,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
456,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20090305,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
457,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20090327,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
458,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20090618,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
459,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20091015,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
460,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20091027,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
461,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20091214,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
462,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20100401,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
463,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20100514,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
464,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20100526,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
465,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20100629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
466,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20100707,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
467,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20110128,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
468,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20110629,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
469,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20110902,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
470,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20110913,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
471,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20111020,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
472,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,20120216,稳定,投资级,AAA级债为最高级债，其还本付息能力最强。
