,证券代码,证券简称,发债主体评级等级,发债主体评级类型,发债主体评级机构,发债主体评级预期,发债主体评级时间
285,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20131226
286,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140324
287,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140509
288,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20140609
289,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20140613
290,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20140623
291,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140729
292,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20140901
293,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20141118
294,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20150122
295,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20150420
296,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20150527
297,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20150602
298,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20150612
299,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20150626
300,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20150730
301,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20151021
302,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,稳定,20151216
303,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20151231
304,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20160120
305,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20160314
306,011101002.IB,11中石油SCP002,Aa3,长期信用评级,穆迪公司,负面,20160330
307,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160413
308,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20160622
309,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20160725
310,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160728
311,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20170605
312,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20170626
313,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20170630
314,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20170727
315,011101002.IB,11中石油SCP002,A1,长期信用评级,穆迪公司,稳定,20170918
316,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180126
317,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20180425
318,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180621
319,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20180625
320,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20180626
321,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180727
322,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180815
323,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180912
324,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20181228
325,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190109
326,011101002.IB,11中石油SCP002,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20190111
327,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190218
328,011101002.IB,11中石油SCP002,AAA,长期信用评级,联合资信评估有限公司,稳定,20190613
329,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20190618
330,011101002.IB,11中石油SCP002,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20190621
331,011101002.IB,11中石油SCP002,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190628
332,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20081014
333,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20081208
334,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20090305
335,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20090327
336,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20090618
337,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20091015
338,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20091027
339,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20091214
340,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20100401
341,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20100514
342,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20100526
343,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20100629
344,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20100707
345,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20110128
346,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,正面,20110408
347,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20110629
348,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20110902
349,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20110913
350,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20111020
351,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20111114
352,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20111231
353,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120202
354,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20120216
355,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120301
356,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120328
357,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,正面,20120410
358,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20120511
359,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20120629
360,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20120814
361,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20121018
362,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20121226
363,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20130416
364,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20130510
365,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20130511
366,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20130624
367,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20130729
368,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20131226
369,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20140324
370,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20140509
371,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20140609
372,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20140613
373,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20140623
374,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20140729
375,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20140901
376,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20141118
377,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20150122
378,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20150420
379,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20150527
380,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20150602
381,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20150612
382,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20150626
383,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20150730
384,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20151021
385,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,稳定,20151216
386,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20151231
387,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20160120
388,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20160314
389,011101003.IB,11中石油SCP003,Aa3,长期信用评级,穆迪公司,负面,20160330
390,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160413
391,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20160622
392,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20160725
393,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160728
394,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20170605
395,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20170626
396,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20170630
397,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20170727
398,011101003.IB,11中石油SCP003,A1,长期信用评级,穆迪公司,稳定,20170918
399,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180126
400,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20180425
401,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180621
402,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20180625
403,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20180626
404,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180727
405,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180815
406,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180912
407,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20181228
408,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190109
409,011101003.IB,11中石油SCP003,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20190111
410,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190218
411,011101003.IB,11中石油SCP003,AAA,长期信用评级,联合资信评估有限公司,稳定,20190613
412,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20190618
413,011101003.IB,11中石油SCP003,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20190621
414,011101003.IB,11中石油SCP003,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190628
415,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20081014
416,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20081208
417,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20090305
418,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20090327
419,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20090618
420,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20091015
421,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20091027
422,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20091214
423,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20100401
424,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20100514
425,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20100526
426,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20100629
427,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20100707
428,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20110128
429,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,正面,20110408
430,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20110629
431,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20110902
432,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20110913
433,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20111020
434,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20111114
435,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20111231
436,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120202
437,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20120216
438,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120301
439,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120328
440,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,正面,20120410
441,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20120511
442,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20120629
443,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20120814
444,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20121018
445,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20121226
446,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20130416
447,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20130510
448,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20130511
449,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20130624
450,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20130729
451,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20131226
452,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20140324
453,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20140509
454,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20140609
455,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20140613
456,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20140623
457,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20140729
458,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20140901
459,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20141118
460,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20150122
461,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20150420
462,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20150527
463,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20150602
464,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20150612
465,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20150626
466,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20150730
467,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20151021
468,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,稳定,20151216
469,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20151231
470,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20160120
471,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20160314
472,011101004.IB,11中石油SCP004,Aa3,长期信用评级,穆迪公司,负面,20160330
473,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160413
474,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20160622
475,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20160725
476,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160728
477,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20170605
478,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20170626
479,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20170630
480,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20170727
481,011101004.IB,11中石油SCP004,A1,长期信用评级,穆迪公司,稳定,20170918
482,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180126
483,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20180425
484,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180621
485,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20180625
486,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20180626
487,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180727
488,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180815
489,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20180912
490,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20181228
491,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190109
492,011101004.IB,11中石油SCP004,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20190111
493,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190218
494,011101004.IB,11中石油SCP004,AAA,长期信用评级,联合资信评估有限公司,稳定,20190613
495,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20190618
496,011101004.IB,11中石油SCP004,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20190621
497,011101004.IB,11中石油SCP004,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20190628
498,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20081014
499,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20081208
500,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20090305
501,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20090327
502,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20090618
503,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20091015
504,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20091027
505,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20091214
506,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20100401
507,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20100514
508,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20100526
509,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20100629
510,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20100707
511,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20110128
512,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,正面,20110408
513,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20110629
514,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20110902
515,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20110913
516,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20111020
517,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20111114
518,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20111231
519,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120202
520,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20120216
521,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120301
522,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20120328
523,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,正面,20120410
524,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20120511
525,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20120629
526,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20120814
527,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20121018
528,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20121226
529,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20130416
530,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20130510
531,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20130511
532,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20130624
533,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20130729
534,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20131226
535,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20140324
536,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20140509
537,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20140609
538,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20140613
539,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20140623
540,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20140729
541,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20140901
542,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20141118
543,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20150122
544,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20150420
545,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20150527
546,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20150602
547,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20150612
548,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20150626
549,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20150730
550,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20151021
551,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,稳定,20151216
552,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20151231
553,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20160120
554,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20160314
555,011101005.IB,11中石油SCP005,Aa3,长期信用评级,穆迪公司,负面,20160330
556,011101005.IB,11中石油SCP005,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160413
557,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20160622
558,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20160725
559,011101005.IB,11中石油SCP005,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20160728
560,011101005.IB,11中石油SCP005,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20170605
561,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20170626
562,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20170630
563,011101005.IB,11中石油SCP005,AAA,长期信用评级,中诚信国际信用评级有限责任公司,稳定,20170727
564,011101005.IB,11中石油SCP005,A1,长期信用评级,穆迪公司,稳定,20170918
565,011101005.IB,11中石油SCP005,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180126
566,011101005.IB,11中石油SCP005,AAA+,长期信用评级,中债资信评估有限责任公司,稳定,20180425
567,011101005.IB,11中石油SCP005,AAA,长期信用评级,中诚信证券评估有限公司,稳定,20180621
568,011101005.IB,11中石油SCP005,AAA,长期信用评级,大公国际资信评估有限公司,稳定,20180625
569,011101005.IB,11中石油SCP005,AAA,长期信用评级,联合资信评估有限公司,稳定,20180626
